institute,address
Collège Vanier,"821 avenue Sainte‑Croix, Saint‑Laurent (Montréal), QC H4L 3X9, Canada"
Federal University of Rio Grande De Norte,"Federal University of Rio Grande do Norte, Natal, RN, Brazil"
Simon Fraser University,"8888 University Drive, Burnaby, BC V5A 1S6, Canada"
Université de Genève,"Université de Genève, Geneva, Switzerland"
Université de Montréal,"2900, boulevard Édouard‑Montpetit, Montréal, QC H3T 1J4, Canada"
Université de Sherbrooke,"2500, boulevard de l’Université, Sherbrooke, QC J1K 2R1, Canada"
Université de Victoria,"3800 Finnerty Road, Victoria, BC V8P 5C2, Canada"
Université d'Ottawa,"University of Ottawa, Ottawa, ON, Canada"
Université du Nouveau-Brunswick,"University of New Brunswick, Fredericton, NB, Canada"
Université du Québec à Chicoutimi,"555 boulevard de l’Université, Chicoutimi (Saguenay), QC G7H 2B1, Canada"
Université du Québec à Montréal,"320, rue Sainte‑Catherine Est, Montréal, QC H2X 1L7, Canada"
Université du Québec à Rimouski,"300 allée des Ursulines, Rimouski, QC G5L 3A1, Canada"
Université du Québec à Trois-Rivières,"3351 boulevard des Forges, Trois‑Rivières, QC G8Z 4M3, Canada"
Université du Québec en Abitibi-Témiscamingue,"445 boulevard de l’Université, Rouyn‑Noranda, QC J9X 5E4, Canada"
Université Guelph,"50 Stone Road East, Guelph, ON N1G 2W1, Canada"
Université Laval,"2325 rue de l’Université, Québec, QC G1V 0A6, Canada"
Université McGill (MILA),"845 rue Sherbrooke Ouest, Montréal, QC H3A 0G4, Canada"
University British Columbia,"6200 University Blvd, Vancouver, BC V6T 1Z4, Canada"
University of Porto,"Praça Gomes Teixeira, 4050‑290 Porto, Portugal"
"Vrije Université, Pays-Bas","De Boelelaan 1105, 1081 HV Amsterdam, Pays‑Bas"
Centre de foresterie des Laurentides,"Centre de foresterie des Laurentides, Quebec City, QC, Canada"
European Southern Observatory,"European Southern Observatory, Santiago, Chile"
Institut d'astrophysique des Canaries,"Instituto de Astrofisica de Canarias, La Laguna, Tenerife, Spain"
Institut de Planétologie et d’Astrophysique de Grenoble,"414 rue de la Piscine, 38400 Saint‑Martin‑d’Hères, France"
Institut de recherche en biologie végétale,"4101 rue Sherbrooke Est, Montréal, QC H1X 2B2, Canada"
Institut du cerveau de Paris,"47 boulevard de l’Hôpital, 75013 Paris, France"
Institut Tropical de recherche du Smithsonian,"Smithsonian Tropical Research Institute, Ancon, Panama"
"ISYEB (Institut de Systématique, Evolution, Biodiversité), Muséum national d'histoire naturelle de Paris","45 rue Buffon, 75005 Paris, France"
New Zealand Arthropod Collection (NZAC),"231 Morrin Road, St Johns, Auckland 1072, Nouvelle‑Zélande"
Observatoire du Mont Mégantic,"Chemin des Érables, Notre‑Dame‑des‑Bois, QC J0B 2E0, Canada"
Vermont Center for Ecostudies,"Vermont Center for Ecostudies, White River Junction, VT, USA"
Agriculture Canada,"1341 Baseline Road, Ottawa, ON K1A 0C5, Canada"
CNRS - Guyane,"Main Office (LEEISA): 275 route de Montabo, 97300 Cayenne"
Environnement et Changements climatiques Canada (ECCC),"351 boulevard Saint‑Joseph, Gatineau, QC K1A 0H3"
Italian Natinal Research Council (CNR),"Piazzale Aldo Moro 7, 00185 Roma, Italie"
"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs QC (MELCCFP)","675 boulevard René‑Lévesque Est, Québec, QC G1R 5V7"
"Ressources naturelles Canada, région Terre-Neuve et Labrador (NR-CAN)",St. John’s et Corner Brook
Parcs Nunavik,"Kuujjuaq, QC, Canada"
"Royal Military College of Canada, Department of Physics and Space Science","Royal Military College of Canada, Kingston, ON, Canada"
Valores,"Shippagan, NB, Canada"
Aquaculture Gaspésie inc.,"1811 montée de Pointe‑Navarre, Gaspé, QC G4X 1A8, Canada"
Poliflora,"5455 avenue de Gaspe, Montreal, QC, Canada"
Première Nation Wolsastoqiyik Wahsipekuk,"217, rue de la Grève, Saint‑Georges‑de‑Cacouna, QC G0L 1G0"
